,versionCreated,text,storyId,sourceCode,Polarity,Subjectivity,Score
2020-03-18 23:48:44.000,2020-03-18 23:48:44.000,HIV drug combo fails as treatment for severe COVID-19 in China study,urn:newsml:reuters.com:20200318:nL1N2BB38G:3,NS:RTRS,0.010363636363636361,0.5365454545454545,neutral
2020-03-18 23:46:41.406,2020-03-18 23:48:18.959,HARLEY-DAVIDSON INC <HOG.N> - CLOSED ITS PILGRIM ROAD POWERTRAIN OPERATIONS FACILITY THIS AFTERNOON AFTER AN EMPLOYEE TESTED POSITIVE FOR COVID-19,urn:newsml:reuters.com:20200318:nASA00I8W:2,NS:RTRS,0.11363636363636363,0.2727272727272727,positive
2020-03-18 23:47:05.571,2020-03-18 23:47:56.291,"TRANSPORT FOR LONDON PLANS INCLUDE NO WATERLOO & CITY LINE FROM FRIDAY, NO 'NIGHT TUBE' SERVICE  AND FEWER BUSES DUE TO COVID-19- SKY NEWS",urn:newsml:reuters.com:20200318:nFWN2BB1OG:2,NS:RTRS,0.0625,0.6875,positive
2020-03-18 23:41:19.466,2020-03-18 23:41:19.466,CALERES PROVIDES UPDATE ON COVID-19,urn:newsml:reuters.com:20200318:nFWN2BB1IW:1,NS:RTRS,0.11000000000000001,0.5,positive
2020-03-18 23:40:50.576,2020-03-18 23:40:50.576,INCA MINERALS LTD-COVID-19 PANDEMIC HAS A VERY LIMITED EFFECT ON INCA,urn:newsml:reuters.com:20200318:nFWN2BB1IU:1,NS:RTRS,0.18571428571428572,0.6952380952380953,positive
2020-03-18 23:39:49.895,2020-03-18 23:39:49.895,Australia Stock Exchange release from INCANLS <ICG.AX>: Covid-19 and Inca Minerals,urn:newsml:reuters.com:20200318:nAZN006W9V:1,NS:RTRS,0.0,0.0,neutral
2020-03-18 23:37:37.000,2020-03-18 23:37:37.000,BRIEF-Bio-Rad Partners With Testing Labs Worldwide To Support Covid-19 Testing,urn:newsml:reuters.com:20200318:nFWN2BB1IR:1,NS:RTRS,0.25,1.0,positive
2020-03-18 23:37:22.000,2020-03-18 23:37:22.000,"BRIEF-Guyana Goldfields Provides Covid-19 Business Update, Including Impact Of Guyana Travel Restrictions",urn:newsml:reuters.com:20200318:nFWN2BB1IS:1,NS:RTRS,0.024999999999999994,1.0,neutral
2020-03-18 23:34:25.272,2020-03-18 23:35:23.282,GUYANA GOLDFIELDS INC <GUY.TO> - HAVE NO CONFIRMED COVID-19 CASES AMONGST CO'S WORKFORCE,urn:newsml:reuters.com:20200318:nFWN2BB1IS:3,NS:RTRS,0.024999999999999994,1.0,neutral
2020-03-18 23:34:25.231,2020-03-18 23:34:25.231,"GUYANA GOLDFIELDS INC. PROVIDES COVID-19 BUSINESS UPDATE, INCLUDING IMPACT OF GUYANA TRAVEL RESTRICTIONS",urn:newsml:reuters.com:20200318:nFWN2BB1IS:1,NS:RTRS,0.024999999999999994,1.0,neutral
