[],@vmas @AaliyahHaughton wonder why... fear is the virus TRUTH is the what is deflected of those that fear the public… https://t.co/oNLMtVETax,redheadgeometry,
[],"RT @realDonaldTrump: “With the Tax Cuts and new Trade Deals, we were set for a tremendous growth rate this year.... and then the Virus came…",angelastella777,"Austin, Texas "
[],"RT @wavlovr1: And Trump gave our emergency supplies to China to protect Russia, while calling virus a ""HOAX"". He doesn't care if Americans…",wavlovr1,"Arizona, USA"
[],"RT @AndrewPollackFL: When President @realDonaldTrump formed the Chinese Virus task force in January, Nancy Pelosi was passing out her impea…",Charles75498587,"De Funiak Springs, FL"
[],@Harmonium_1 @ChinaDaily it's your mother vagina virus from your mother vagina,XuAjXYaH8J6JTsl,
[],"RT @LegionHoops: More great news: Marcus Smart has been cleared from the coronavirus.

So far, Donovan Mitchell, Rudy Gobert, Christian Woo…",mariayells,socal & mex
[],RT @mariaressa: Managing allies or the virus? https://t.co/iKGdFoMK4Z,bianca_cavino17,Purok Rupok 💙 | KWADRA 🐎
[],@CoachFHepler I agree coach.  This virus is ridiculous.   Stay healthy coach.,CRobthomas,"Belfair, WA"
[],RT @BetteMidler: Read it and weep. https://t.co/505vPfmS3U,EzakoD,
[],RT @BaddCompani: Coronavirus is infectious during the two weeks people are carrying BEFORE symptoms show up Unlike the Flu. This is why peo…,AngelandRick,
[],"@JChengWSJ When the difficulty comes, we could figure out who is friend. Who is this guy saying to protect china? C… https://t.co/3CFUZcxewK",nanoleorex,
[],RT @paulsperry_: why not let everybody who's recovered from virus (&amp; no longer testing +) return to work/school? that’s 80% of 123k total U…,Msfletcherush,
[],"RT @Lrihendry: 99% of Those Who Died From Virus Had Other Illness, Italy Says

https://t.co/RSaaBX3QSJ",TBeansprout,Kingdom of GOD
[],"@MisterG_8 @backstroke_ @Dnball62 @LithiumIonBull @lithiumanalysis Ask management.
Obviously everyone is slowed down with virus",SaneGeist,
[],"RT @charliekirk11: China is lying to the world—again.

They say COVID-19 has only killed roughly 3,300 of its’ citizens

But new reports ou…",thomasleedavis2,"Riley, Oregon"
[],@porter9811 @submx8ch @robreiner A test for a brand new virus? The test south Korea used were only 45% accurate so… https://t.co/4jMyyr3CK6,JohnSherrel,"Texas, USA"
[],"@Mike_Pence Aren’t you supposed to be giving the speeches? Saw it with my own eyes, he made you in charge of the vi… https://t.co/HQrsElqPSD",scof_nyc,Connecticut & NYC
[],"RT @charliekirk11: Pelosi this morning on Trump’s Virus response:

“What did he know &amp; when did he know it? That’s for an after-action revi…",DennisGaus1,USA
[],"RT @NikitaRaut12: @IAmVarunTej @actor_nithiin The whole world is recognizing the glory of eternal culture.

 Indian Ministry of AYUSH has s…",ragarwa86237458,
['AMJoy'],RT @ericsslater: Interesting point made on #AMJoy just now by Carol Simpson. The trump propaganda-fests @ 5 pm each day are timed to preemp…,beckyberman,"Daytona Beach, FL"
[],"RT @BardsOfWar: Breaking...

POTUS extends CHINA Virus restrictions to 30 April. What's so important about that date?

30 April 1789, Georg…",IrishAn53296214,
[],"I believe when the alternate history of this time is written it will be ""What if Trump had acted when first informed about the virus""",MDavidCPA,"Villa Park, Illinois"
[],"RT @tedcruz: It’s even worse. We KNOW China is lying. On 3/1, China had 80,026 reported cases. On 3/28, it had 81,439. Does anyone believe…",realtedcox,"the woodlands, tx"
[],RT @tobykeith: We are feeling it now. Oklahoma boy Joe Diffie has passed away from this virus.  My kids grew up around his parents. My pray…,TheDrK_,North Carolina
[],"RT @rishibagree: Rohini Singh wants the rich to donate for Corona Virus

Rohini Singh regularly flaunts her Mercedes on twitter

Rohini Sin…",kartarsainani,Pune -Maharashtra
[],RT @_AndrewRochford: Our biggest problem right now is not the virus...it’s arrogance.,itsconsteeen,
[],"RT @Prosperous1776: @paulsperry_  you make sense.... and by the same token, why don’t the COVID-19 stats INCLUDE recovered patients? 

Are…",tray24u1,EVERY WHERE Important tweets
[],Don't they see this virus as god's wrath or something? Not a good sign.,no2phase1,Seventh Level of Hell 🚠
[],RT @chuckwoolery: We have tested more people in 8 days than South Korea did in 8 weeks. 90% tested don't have the virus. Have you heard thi…,rjrolivo,"Del Rio, TX"
[],"RT @NYDailyNews: MAP: Coronavirus hits NY’s poor neighborhoods the hardest

The map shows the biggest share of people testing positive for…",cmwkayawren,"New York, New York"
[],@dw_chinese American arrogance turned into a paper tiger in front of the new crown virus.,USHsQixQdq2cSBE,Shanghai
['Resign'],"RT @dvillella: @realDonaldTrump While you were busy attacking members of the press today, this happened.
#Resign

https://t.co/oypysAcnUy",steveconnieWood,oregon
[],"RT @WalshFreedom: Respectfully Nikki, stuff it. I want America to defeat this virus, and I don’t want Americans to get sick &amp; die. And when…",trawetsla,
['thread'],"RT @jamewils: An outstanding #thread 

Please read and understand, then act, before it is too late!

Don't do a Modi",DrStonedCosmos,Chennai
[],"RT @Holly1ForTrump: Next time a reporter slams President Trump for not doing his job or what ever publicly stunt they try to pull, I’d like…",parrish08101952,
[],RT @PattyArquette: As of today we have lost more American lives to this virus than we did on 9/11,jhcyogini,"Fuck you, that’s where."
[],"RT @RBReich: Amazon, one of the richest corporations in the world, which paid almost no taxes last year, is offering UNPAID time off for wo…",MrsPixyStyx,Neverhere anywho
[],"RT @charliekirk11: Nancy Pelosi:

“As the president fiddles, people are dying”

Remind me again, what every Democrat in DC was pre-occupied…",AZ_Truth,Arizona
[],RT @chinedumc92: It is only that wants to run oooo,Kappy____,Ibadan
[],"RT @ilike2beright: when I saw this article about the javitz center, I thought, 
“these aren’t normal “triage” set ups?” “those aren’t hospi…",HouseSleepy,
[],"RT @NYTScience: In a desperate effort to help hospitalized coronavirus patients, doctors will begin treating them with ""convalescent plasma…",seguvor,
[],"RT @WhiteHouse: The peak of this virus' death rate is likely to hit in two weeks. 

We MUST stay the course and keep following the guidelin…",RWayneFischer1,"Tucson, AZ"
[],"RT @SrBachchan: T 3484 - "" Can we please delete the 2020 year and then reinstall it anew  ?
This version is with virus !"" ~ Ef j",Imsubrat97,"Orissa, India"
[],RT @mj_harrington: This is the spirit... https://t.co/3FLZDpxXOI,HrrStillwater,
[],"RT @RMNarrative: I've been in medical isolation for months before. It sucks, I know. 

It means I literally saw no one. For months. No touc…",actuallyreadbks,"Vancouver, British Columbia"
[],"RT @TeaPainUSA: Trump (Last month): “We’ll soon be down to zero cases.

Kudlow (Last month): “The virus is fully contained.”

Trump (Today)…",laurinedugator1,
[],"RT @charliekirk11: China is lying to the world—again.

They say COVID-19 has only killed roughly 3,300 of its’ citizens

But new reports ou…",CraigTh43222433,
[],"RT @StevStiffler: THIS MAN IS A GENIUS he figured out the Corona virus problem 😮
 https://t.co/WNeTpMz1PM",krichsam,"Antwerpen, België"
[],"Being complacent is the last thing we should be doing, we should learn from every experience @drharshvardhan ji",vinaynshetty,"Muscat, Oman"
"['CoronaVirus', 'FortDetrick']",RT @Rasputinish: So interesting to see all Trails on #CoronaVirus leading back to #FortDetrick &amp; University of N Caroliina ........ not to…,camaradavhfg68,
[],RT @gingermaneditor: Other than China who let it out in the first place.,GOPMan1234,
[],"RT @ddale8: Trump says the virus has hit 151 countries. He said somebody, who he doesn't name, told him that ""they didn't know that we had…",ruby_ingle,
[],RT @nausexusmxnster: y'all truly expected her to spill tea about chromatica at a charity event against corona virus when she literally post…,D03263183,
[],RT @sinach: We declare the virus dead in the Name of Jesus!!,strawbxrrybunny,
[],RT @hemantmehta: Here is scamvangelist Kenneth Copeland DESTROYING the virus through what I can only describe as a Christian magic spell.…,AnonymousRex12,Earth
[],RT @PattyArquette: As of today we have lost more American lives to this virus than we did on 9/11,merrrmaidx,
[],"RT @Julian_Epp: Because everyone in Italy is quarantined, the natural wildlife has returned to the water and forests ❤️ We are the virus ht…",arraz93,Armenia
[],@realDonaldTrump @nytimes They are interested in Corona virus updates. You are nothing but an annoying sideshow.,WWLibtard,
['Jayanagar'],"RT @Sowmyareddyr: 4 new machines were procured for disinfection in our #Jayanagar constituency. 

Disinfection spraying greatly helps reduc…",radhacharandas,"Nasik, India"
[],"RT @DNCWarRoom: Every day, health care workers risk catching the virus — they're going to be the reason we beat COVID-19.

First, Trump's u…",sdwilliams36,"Moreno Valley, California"
[],RT @shujaxhaider: Is the idea here that if we’d elected Hillary god wouldn’t have punished us with the virus https://t.co/V390sV14bU,popsknox,"Philadelphia, PA "
[],"RT @OIFvetUSMC02: You’re right @realDonaldTrump, we’re stealing masks to take home so we don’t have any to use at work therefore exposing o…",JimBulger3,
[],"RT @AndrewPollackFL: When President @realDonaldTrump formed the Chinese Virus task force in January, Nancy Pelosi was passing out her impea…",Melissa39965130,
[],Did it work?,vintagegoddess,"Arkansas, USA"
[],RT @WhoSunilGrover: Just imagine getting killed by an overseas virus when you don’t even have a passport.,Priyank56641495,
[],GO FOLLOW AND SUPPORT THIS BEAUTIFUL GEM!!!,Mrwallybee,
[],RT @realDonaldTrump: Polls are showing tremendous disapproval of Lamestream Media coverage of the Virus crisis. The Fake News just hasn’t f…,Desiree85482837,"Florida, USA"
[],"RT @DeanObeidallah: @realDonaldTrump Here's Trump one month ago on Feb 28 at rally slamming media for being in ""hysteria mode"" over threat…",PurbaGilani2,
[],"RT @ddale8: Trump says the virus has hit 151 countries. He said somebody, who he doesn't name, told him that ""they didn't know that we had…",KeystoneTake,"Philadelphia, PA"
[],"RT @svdate: 1) The president downplayed the virus threat for 7 weeks, AFTER he received info how deadly it was in China
2) He claimed -- fa…",LRNoyes,"Delaware, USA"
[],"RT @panchal_premal: Ayurveda doctors are saying, we can save ourselves from corona virus.
3. Bath with salt water 

4. You can use eucalypt…",AtiyatMajd,
[],i’m so ready to get my shit together. i’m ready to start building my future. this virus needs to go tf away😒,McfaddenKylee,
[],"@FoxInWolfs @Anti_Faux_Fem @chuck_fire4 @robreiner https://t.co/Q9U3kR2qBb Here's where the clip is from, starts he… https://t.co/TDxPGgyUGS",CJB_098,Australia
[],RT @typicalrachell: This virus never going to leave huh,lealariosxo,"Houston, TX"
[],"RT @ChrisMurphyCT: The power to best this virus lies within all of us. If we keep our heads down, stay as positive as is possible, and vigi…",MendiolaGrandma,"California, USA"
[],RT @emily_norden: @MorganMcCullou1 @madihyderr that mother fucker in the back started the corona virus 😂,madihyderr,"Perrysburg, OH"
[],"RT @AndrewPollackFL: When President @realDonaldTrump formed the Chinese Virus task force in January, Nancy Pelosi was passing out her impea…",AndrewJ18280870,
[],RT @joiie_e: all you “i need my nails done” girls better not be racist towards your nail techs when we get outta this quarantine. i don’t w…,jvliele,"San Bernardino, CA"
[],"RT @kevweibodje: People are going about in Port Harcourt as if a public holiday was declared. 
Meanwhile they're mixing with Lagos and Abuj…",datonye_bright,Port Harcourt/Lagos
[],RT @RepThomasMassie: The stimulus package that just passed is the biggest wealth transfer from common folks to the super-rich (Wall Street…,barryapetersen,
[],"RT @SrBachchan: T 3484 - "" Can we please delete the 2020 year and then reinstall it anew  ?
This version is with virus !"" ~ Ef j",I_Pithva,Jamnagar
[],"RT @RuamiGrey: @thedailybeast Did I understand correctly: they came back, some got sick (3 hospitalized) &amp; so now the vast majority of the…",johnyuma433,"Georgia, USA"
[],"""...but what is now clear is this virus is likely to continue to haveprofound effects on our way of life - our busi… https://t.co/iVt417ws0Y",MohamedHachi99,
[],"RT @AndrewPollackFL: When President @realDonaldTrump formed the Chinese Virus task force in January, Nancy Pelosi was passing out her impea…",zjmathewgmailc1,
[],@petersimeti Virus and all!...,GodShepherdHand,"Someplace, Ontario, Canada"
[],"RT @ChanelRion: Social distancing and other preventative measures are not about keeping the population from catching the virus, it's about…",gr02yg,Crystal Lake IL
[],RT @Ccrystvll: @WhoDatTrap mm the racism and xenophobia i hope you catch the corona virus,OrlandohMoh,Los Angeles Film School
[],"RT @JasonRobergeVA: Sweden is doing a great job when everyone came together to fight against the China Virus

https://t.co/E7OGOqIxbL",juliedeplorable,USA.       CO
[],"RT @GrassrootsSpeak: Trump says hospitals used to order 10k masks now they order 300k

Previously if you walked in a hospital every single…",prospect46,
[],"RT @svdate: 1) The president downplayed the virus threat for 7 weeks, AFTER he received info how deadly it was in China
2) He claimed -- fa…",DBootcheck,
[],RT @narceducator: President Narcissistic Psychopath during the deadliest pandemic in a century is bragging about his tv ratings and popular…,KLF00383321,
[],"To those who are suffering from this terrible virus, may God will heal you and give you the strength to recover as… https://t.co/RvYaX1ri1U",Zaniewaniee,Texas
[],"RT @AndrewPollackFL: When President @realDonaldTrump formed the Chinese Virus task force in January, Nancy Pelosi was passing out her impea…",Renny_USA,Trump’s America
[],RT @ballantyneart: I have the @CBC app to follow the latest on the virus and other news. Would it be asking too much of the people that wri…,judyjackson2086,
[],RT @joiie_e: all you “i need my nails done” girls better not be racist towards your nail techs when we get outta this quarantine. i don’t w…,brosephinaa_,
[],"RT @cov_Gretchen: Her voice was silenced because she dared to speak the truth.

So she was brave...@trish_regan

I believe this virus has b…",2AforeverDusty,"Texas, USA"
[],"RT @HtownBabyG: *corona virus enters my body*

The 4 Flintstone gummies I ate in 2005: https://t.co/3STfdIQtaT",KateDHernandez,"San Francisco, CA"
[],"apparently a corona virus symptom is having no taste, thoughts and prayers to all blueface fans",ghstcat,"Florida, USA"
[],RT @prophethusband: People love to reply to posts and go “uhm hi historian here and actually” or “so as a Doctor I feel like I have to say”…,queenbeets,hell
[],"RT @charliekirk11: Nancy Pelosi:

“As the president fiddles, people are dying”

Remind me again, what every Democrat in DC was pre-occupied…",jonnymaggs113,New York 845
[],RT @LegalBeagle1215: “Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.” - Mar…,SherrieBCAS,Alabama
[],"RT @OIFvetUSMC02: You’re right @realDonaldTrump, we’re stealing masks to take home so we don’t have any to use at work therefore exposing o…",WildSoCali,Beach 
[],"RT @OhhhThatsLaLa: i want the US to shut down completely for 2 weeks, like how other countries did . this virus is so outta control &amp; our g…",yyaaanet,
[],anyone saying that people should die from this virus for the sake of the stock market better be first in line volunteering,nicolettepierce,Bandito Tour • 6/07/19
[],"RT @ilike2beright: these look like calming /therapeutic safe spaces🤔
...possibly for a flood of very traumatized people, &amp; not virus “sick”…",HouseSleepy,
[],This whole corona virus just goes to show that nobody rockin w Asian people,illestallan,"East Oakland, CA"
[],"RT @erinruddy: For everyone out there in need of a bit of hope...This is my grandad 82, arriving back home after beating the corona virus.…",ellielloydxox,"Dudley, England"
[],"RT @TeaPainUSA: Trump (Last month): “We’ll soon be down to zero cases.

Kudlow (Last month): “The virus is fully contained.”

Trump (Today)…",bobleets,Greater Vancouver
[],"I thought his issue was the process, not the economic aide?!",mattdole,Ohio
[],RT @intheMatrixxx: German Minister Thomas Schaefer commits suicide after 'virus crisis worries' 😳https://t.co/9Vj6AYq1Ip,CindeaMulholla3,
[],"RT @AyaIsleemEn: I am Palestinian, I live in the Gaza Strip.
 Poverty, blockade and Israeli wars are much more difficult than the Coruna vi…",Abdu0l_rahman,"Damaturu, Nigeria"
[],"RT @donwinslow: This is another bullshit tweet from Trump worshipper Nikki Haley.

WTF is wrong is you?

Why can't you just admit a simple…",MoniquesNewer,"California, USA"
[],"RT @charliekirk11: Nancy Pelosi:

“As the president fiddles, people are dying”

Remind me again, what every Democrat in DC was pre-occupied…",Ed00498164,"San Diego, CA"
[],"RT @BillClinton: As the numbers continue to rise, we can never forget that there are real people, each with their own lives, stories, famil…",1life2livetalk,Chicagoland 
[],RT @MotoJourney2: @Think4Yoursel13 @westieTX Somethings is just way off.  2400 total deaths to this so called virus...  that’s nothing. Thi…,Wetfeathers,
[],"100% agree, some people really just don’t understand",Tomas_Salazar7,Planet Vegeta
[],"I'm an online socialist and I think the government should direct most of the economy, but I also hate technocrats a… https://t.co/eT4ReCoI8q",HotWxTakes,"Washington, DC"
[],"Oh father Lord please hear our prayers....
We trust in you...
We have a believe that this crisis about Corona Virus… https://t.co/Tf36Tj44rn",Mmushi_Dagane,South Africa
[],And sending our much needed suppplies to China!,Stoneglo1, New York
[],"RT @MingGao26: wat mean?

https://t.co/EfKqWdgfP4",PollifaxMrs,Landlocked 
[],@kennkazy @yuucio And I live in one of the 13 states currently under some sort of stay at home order.  He cares mor… https://t.co/FalDT9aTb4,islesdave,
[],@MarshaBlackburn Yes and the same person who encouraged folks to visit Chinatown completely ignoring the dangers of the Chinese virus !,brianedyer1,
[],"RT @cjwerleman: The Indian news media never misses an opportunity to exploit Islamophobia.

Here @the_hindu newspaper dresses COVID-19 in I…",ChaudhryFayyaz,CANADA
[],RT @realDonaldTrump: Polls are showing tremendous disapproval of Lamestream Media coverage of the Virus crisis. The Fake News just hasn’t f…,melbabun,
[],"@AprilWilson101 @RCMB323 Just the math. That'd be about 7-8 weeks from now, and if you add on the last couple, that… https://t.co/oMqAi12qVn",smelllikesugar,RVA
[],"RT @erinruddy: For everyone out there in need of a bit of hope...This is my grandad 82, arriving back home after beating the corona virus.…",dolan_jazz,"Manchester, England"
"['MLB', 'Malliard']",RT @WinWithMalliard: 2 Cubs employees test positive for COVID-19 virus https://t.co/VLclZFMgG2 #MLB #Malliard https://t.co/TOyNwSNFT4,AdFreeTalkRadio,
[],RT @tburages: Healthcare systems in Detroit are stretched to the limit. The TCF convention center is going to be turned into a 900-bed hosp…,Pathfinder1001,
[],RT @realDonaldTrump: ...The CBS News poll said 13 percent of Republicans trusted the news media for information about the virus.” Michael M…,WesleyAPEX,FISHING
[],"RT @charliekirk11: China is lying to the world—again.

They say COVID-19 has only killed roughly 3,300 of its’ citizens

But new reports ou…",stinsonwade96,
[],"RT @venzq: Dr @Swamy39  , good that you took all precautionary measures doing a Namaste to avoid catching 'Karuna' Virus in 1996 itself. @v…",MeeracleMeera,
[],"You think the virus listens to government recommendations? Ope. This group is under 10, we won't bother it. 🙄",ElizMHancock,
[],@mikehahn_ @TimMurtaugh @realDonaldTrump I heard Trump today say that it would be a good outcome if 100k Americans die from the virus,LikeRepublican,United States
[],"I’m still at work, in the living room of course, and Scott is making me tacos, we gonna get married when this virus leave I swear 🌮 ♥️",radandsoraina,"Victoria, British Columbia"
[],"RT @donwinslow: This is another bullshit tweet from Trump worshipper Nikki Haley.

WTF is wrong is you?

Why can't you just admit a simple…",leah94106636,
[],"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…",RSigus,YouTube/rayZOutdoorAdventures
[],"RT @HarmlessYardDog: What was ""alarmist fear mongering"" in January/February becomes accepted fact by the President near the end of March.…",wrldisafuk,Otherworld
[],RT @MattWalshBlog: The media has scared everyone by rerunning the worst case scenarios for the virus over and over and over again. I wonder…,buckeye089,Ohio
